State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,CI_Min_Obesity,CI_Max_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
17,33,Crawford,Illinois,IL,55,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,13.7,4.6,22.8,2143,3428,458,40.2,30.2,2,2
17,35,Cumberland,Illinois,IL,57,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1105,1590,230,9.1,9.1,2,2
17,37,DeKalb,Illinois,IL,17,20.4,14.8,26,79.4,72.3,86.5,23.5,17.6,29.4,19.3,12.2,26.5,21.6,16.1,27.2,5,2.6,7.3,9807,9363,1150,37.9,38.9,2,2
17,39,De Witt,Illinois,IL,55,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4.2,0.5,7.9,1665,2635,368,66.2,48.1,2,2
17,41,Douglas,Illinois,IL,57,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,17.2,7.9,26.5,9.8,3,16.6,2281,2626,257,45.1,40.1,2,2
17,43,DuPage,Illinois,IL,2,21.7,19.4,23.9,71.5,68,74.9,17.4,15.4,19.3,19.5,16.9,22.1,18.9,16.8,21,5.2,4.1,6.4,91691,90501,8296,150.4,78.1,1,2
17,45,Edgar,Illinois,IL,60,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.8,0.4,15.2,1982,3223,496,31.3,31.3,2,2
17,47,Edwards,Illinois,IL,55,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,689,1186,121,14.7,14.7,2,2
17,49,Effingham,Illinois,IL,47,18.3,10.5,26.2,-1111.1,-1111.1,-1111.1,19.9,11.5,28.3,-1111.1,-1111.1,-1111.1,18.1,8.3,27.8,10.5,3.5,17.4,2732,4940,729,86.8,37.6,2,2
17,51,Fayette,Illinois,IL,60,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,14.8,6.8,22.8,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.4,2,14.7,2396,3178,530,18.4,18.4,1,1
17,53,Ford,Illinois,IL,55,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6.2,0.4,11.9,1359,2426,221,84.8,35.3,2,2
17,55,Franklin,Illinois,IL,50,40.7,31.1,50.3,-1111.1,-1111.1,-1111.1,22.2,14.3,30.1,-1111.1,-1111.1,-1111.1,29.7,20.8,38.6,8.7,3.5,14,5022,7126,1448,42.8,37.8,1,2
17,57,Fulton,Illinois,IL,30,32.8,23.1,42.5,-1111.1,-1111.1,-1111.1,19.4,11.9,26.8,-1111.1,-1111.1,-1111.1,30.6,21.2,39.9,9.2,3.9,14.6,4050,6751,754,42.4,23.9,2,2
17,59,Gallatin,Illinois,IL,62,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,857,1153,226,16.3,0,1,1
17,61,Greene,Illinois,IL,40,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1683,2610,422,41.1,41.1,2,2
17,63,Grundy,Illinois,IL,48,23.3,14.7,31.9,-1111.1,-1111.1,-1111.1,27.5,18.3,36.7,-1111.1,-1111.1,-1111.1,26.1,16.2,35.9,6,1.2,10.9,3705,4830,575,47.9,27.4,2,2
17,65,Hamilton,Illinois,IL,62,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1010,1565,205,36.1,12,1,1
